시점,지역별,총인구수,출생아수,합계출산율,많이 좋아짐,약간 좋아짐,변화없음,약간 나빠짐,많이 나빠짐,스트레스인지율,음주율,흡연율,비만유병률
2005,충청북도,,13164,1.195,,,,,,,,,
2006,강원특별자치도,,12455,1.202,,,,,,,,,
2006,경기도,,115111,1.239,,,,,,,,,
2006,경상남도,,29524,1.254,,,,,,,,,
2006,경상북도,,22567,1.208,,,,,,,,,
2006,광주광역시,,13679,1.152,,,,,,,,,
2006,대구광역시,,20360,1.011,,,,,,,,,
2006,대전광역시,,14489,1.158,,,,,,,,,
2006,부산광역시,,25881,0.915,,,,,,,,,
2006,서울,,93922,0.980,,,,,,,,,
2006,세종특별자치시,,-,-,,,,,,,,,
2006,울산광역시,,10740,1.242,,,,,,,,,
2006,인천광역시,,23711,1.116,,,,,,,,,
2006,전라남도,,15905,1.337,,,,,,,,,
2006,전북특별자치도,,15571,1.213,,,,,,,,,
2006,제주특별자치도,,5853,1.372,,,,,,,,,
2006,충청남도,,18625,1.356,,,,,,,,,
2006,충청북도,,13366,1.233,,,,,,,,,
2007,강원특별자치도,,13690,1.356,,,,,,,,,
2007,경기도,,126648,1.361,,,,,,,,,
2007,경상남도,,33313,1.434,,,,,,,,,
2007,경상북도,,25062,1.369,,,,,,,,,
2007,광주광역시,,14810,1.262,,,,,,,,,
2007,대구광역시,,22295,1.137,,,,,,,,,
2007,대전광역시,,15780,1.274,,,,,,,,,
2007,부산광역시,,28426,1.024,,,,,,,,,
2007,서울,,101249,1.068,,,,,,,,,
2007,세종특별자치시,,-,-,,,,,,,,,
2007,울산광역시,,11955,1.403,,,,,,,,,
2007,인천광역시,,26712,1.257,,,,,,,,,
2007,전라남도,,17844,1.542,,,,,,,,,
2007,전북특별자치도,,17228,1.380,,,,,,,,,
2007,제주특별자치도,,6178,1.489,,,,,,,,,
2007,충청남도,,20630,1.506,,,,,,,,,
2007,충청북도,,15002,1.398,,,,,,,,,
2008,강원특별자치도,,12373,1.253,,,,,,,58.9,28.3,
2008,경기도,,119397,1.285,,,,,,,55.9,25.6,
2008,경상남도,,31493,1.368,,,,,,,54.5,25.8,
2008,경상북도,,23538,1.313,,,,,,,53.1,27.1,
2008,광주광역시,,13890,1.198,,,,,,,51.2,21.5,
2008,대구광역시,,20562,1.072,,,,,,,55.7,25.5,
2008,대전광역시,,14856,1.215,,,,,,,53.2,25.9,
2008,부산광역시,,26670,0.980,,,,,,,58.5,26.9,
2008,서울,,94736,1.010,,,,,,,57.8,24.6,
2008,세종특별자치시,,-,-,,,,,,,,,
2008,울산광역시,,11365,1.338,,,,,,,59.9,27.7,
2008,인천광역시,,25365,1.186,,,,,,,55.2,26.3,
2008,전라남도,,16363,1.449,,,,,,,50.4,22.5,
2008,전북특별자치도,,15878,1.305,,,,,,,50.1,23.6,
2008,제주특별자치도,,5593,1.386,,,,,,,51.8,27.3,
2008,충청남도,,19749,1.444,,,,,,,51.3,25.5,
2008,충청북도,,14064,1.319,,,,,,,53.6,24.6,
2009,강원특별자치도,,12112,1.248,5.6,28.6,42.0,18.8,5.1,,59.0,28.5,
2009,경기도,,113692,1.226,4.6,28.9,43.2,16.7,6.6,,57.5,26.4,
2009,경상남도,,30320,1.323,4.2,27.3,40.6,22.7,5.1,,57.8,26.8,
2009,경상북도,,22373,1.274,4.2,26.8,40.0,22.5,6.6,,54.9,27.2,
2009,광주광역시,,13101,1.137,2.9,22.3,45.4,22.3,7.0,,55.4,22.5,
2009,대구광역시,,19399,1.029,3.6,30.1,39.8,18.8,7.6,,58.2,26.1,
2009,대전광역시,,13915,1.156,5.1,29.2,40.2,17.7,7.7,,53.5,25.8,
2009,부산광역시,,25110,0.940,3.6,26.6,43.2,17.9,8.8,,60.2,27.4,
2009,서울,,89594,0.962,5.3,29.9,41.7,15.8,7.2,,58.1,24.7,
2009,세종특별자치시,,-,-,,,,,,,,,
2009,울산광역시,,11033,1.308,4.4,29.2,44.4,15.0,7.0,,59.1,27.6,
2009,인천광역시,,24379,1.143,6.5,26.3,42.1,16.7,8.4,,56.8,26.8,
2009,전라남도,,15995,1.445,6.9,31.9,38.5,17.2,5.4,,53.4,24.6,
2009,전북특별자치도,,15233,1.279,3.6,23.8,43.2,22.6,6.8,,48.8,22.6,
2009,제주특별자치도,,5433,1.378,3.9,27.4,42.8,20.4,5.4,,54.8,28.3,
2009,충청남도,,19257,1.408,5.1,31.5,41.3,18.1,4.1,,53.8,27.4,
2009,충청북도,,13903,1.317,4.2,30.8,39.8,19.0,6.1,,55.0,26.7,
2010,강원특별자치도,,12477,1.313,,,,,,,60.8,28.0,
2010,경기도,,121753,1.309,,,,,,,57.8,24.9,
2010,경상남도,,32203,1.413,,,,,,,61.7,25.7,
2010,경상북도,,23700,1.377,,,,,,,56.7,27.0,
2010,광주광역시,,13979,1.223,,,,,,,59.2,22.7,
2010,대구광역시,,20557,1.109,,,,,,,56.6,25.0,
2010,대전광역시,,14314,1.205,,,,,,,53.5,24.5,
2010,부산광역시,,27415,1.045,,,,,,,61.3,25.5,
2010,서울,,93266,1.015,,,,,,,60.4,23.7,
2010,세종특별자치시,,-,-,,,,,,,,,
2010,울산광역시,,11432,1.369,,,,,,,59.4,25.3,
2010,인천광역시,,25752,1.214,,,,,,,59.1,27.0,
2010,전라남도,,16654,1.537,,,,,,,52.3,23.6,
2010,전북특별자치도,,16100,1.374,,,,,,,51.3,23.1,
2010,제주특별자치도,,5657,1.463,,,,,,,58.5,27.4,
2010,충청남도,,20242,1.479,,,,,,,53.3,25.1,
2010,충청북도,,14670,1.402,,,,,,,56.2,25.3,
2011,강원특별자치도,,12408,1.338,4.4,26.0,41.2,21.7,6.7,,60.0,26.2,
2011,경기도,,122027,1.314,4.5,26.1,40.1,21.0,8.3,,59.8,24.8,
2011,경상남도,,32536,1.446,4.3,26.5,38.4,24.4,6.3,,59.8,24.8,
2011,경상북도,,24250,1.434,3.1,33.0,41.0,17.7,5.2,,57.6,26.1,
2011,광주광역시,,13916,1.234,4.1,28.9,44.1,17.6,5.4,,59.3,23.2,
2011,대구광역시,,20758,1.146,2.7,31.6,45.0,17.0,3.7,,59.9,25.1,
2011,대전광역시,,14808,1.261,5.3,24.7,38.4,21.9,9.7,,58.7,22.3,
2011,부산광역시,,27759,1.078,3.4,25.3,38.6,23.1,9.7,,62.4,25.2,
2011,서울,,91526,1.014,3.8,25.7,39.3,22.2,8.9,,62.3,23.0,
2011,세종특별자치시,,-,-,,,,,,,,,
2011,울산광역시,,11542,1.393,3.8,29.7,40.3,19.4,6.7,,58.8,24.6,
2011,인천광역시,,26118,1.232,3.6,22.7,38.9,25.1,9.6,,60.6,26.0,
2011,전라남도,,16612,1.568,5.6,32.3,40.4,15.8,5.9,,54.3,22.9,
2011,전북특별자치도,,16175,1.405,3.4,26.2,38.4,24.9,7.1,,52.9,22.5,
2011,제주특별자치도,,5628,1.487,3.2,31.1,44.6,16.4,4.6,,63.0,27.7,
2011,충청남도,,20398,1.496,3.2,31.3,38.7,21.2,5.5,,57.3,26.0,
2011,충청북도,,14804,1.428,3.8,23.6,43.2,22.1,7.3,,58.4,25.9,
2012,강원특별자치도,,12426,1.374,,,,,,,60.8,26.2,
2012,경기도,,124746,1.355,,,,,,,59.9,24.5,
2012,경상남도,,33211,1.503,,,,,,,61.2,24.1,
2012,경상북도,,24635,1.489,,,,,,,56.8,25.4,
2012,광주광역시,,14392,1.295,,,,,,,59.5,23.7,
2012,대구광역시,,21472,1.217,,,,,,,60.9,25.2,
2012,대전광역시,,15279,1.315,,,,,,,59.6,23.9,
2012,부산광역시,,28673,1.135,,,,,,,63.0,24.5,
2012,서울,,93914,1.059,,,,,,,60.3,23.0,
2012,세종특별자치시,,1054,1.597,,,,,,,62.0,27.3,
2012,울산광역시,,12160,1.481,,,,,,,60.5,23.3,
2012,인천광역시,,27781,1.301,,,,,,,59.6,25.9,
2012,전라남도,,16990,1.642,,,,,,,54.4,23.3,
2012,전북특별자치도,,16238,1.440,,,,,,,51.6,23.1,
2012,제주특별자치도,,5992,1.598,,,,,,,58.2,26.0,
2012,충청남도,,20448,1.571,,,,,,,55.4,24.2,
2012,충청북도,,15139,1.485,,,,,,,59.9,25.8,
2013,강원특별자치도,,10980,1.249서울,4.0,31.1,44.6,14.9,5.5,,62.2,25.6,
2013,경기도,,112129,1.226,4.2,21.5,43.1,22.0,9.3,,60.9,24.4,
2013,경상남도,,29504,1.367,3.6,28.0,45.7,18.6,4.1,,63.1,23.4,
2013,경상북도,,22206,1.379,4.0,32.0,43.7,16.8,3.4,,57.8,23.9,
2013,광주광역시,,12729,1.170,4.0,32.8,49.6,10.8,2.8,,59.6,22.5,
2013,대구광역시,,19340,1.127,3.7,33.3,50.4,10.8,1.8,,62.2,24.4,
2013,대전광역시,,14099,1.234,5.1,26.4,41.6,21.1,5.8,,59.6,23.4,
2013,부산광역시,,25831,1.049,4.3,30.8,43.8,16.1,5.0,,63.5,24.3,
2013,서울,,84066,0.968,5.0,25.3,45.4,17.4,6.8,,62.3,22.6,
2013,세종특별자치시,,1111,1.435,,,,,,,58.9,21.9,
2013,울산광역시,,11330,1.391,3.4,35.3,41.9,13.7,5.7,,60.3,23.2,
2013,인천광역시,,25560,1.195,4.3,22.8,44.5,19.5,9.0,,59.2,24.5,
2013,전라남도,,15401,1.518,5.8,30.9,50.6,10.5,2.1,,55.4,22.2,
2013,전북특별자치도,,14555,1.320,6.3,26.0,43.4,18.4,5.9,,55.7,23.4,
2013,제주특별자치도,,5328,1.427,4.5,26.3,50.8,15.5,2.9,,61.3,26.0,
2013,충청남도,,18628,1.442,3.7,25.7,47.1,18.6,5.0,,56.6,23.7,
2013,충청북도,,13658,1.365,4.9,27.1,43.7,19.3,5.0,,62.0,25.5,
2014,강원특별자치도,,10662,1.248,,,,,,,63.0,25.4,
2014,경기도,,112169,1.241,,,,,,,62.5,23.4,
2014,경상남도,,29763,1.409,,,,,,,64.1,24.1,
2014,경상북도,,22062,1.408,,,,,,,59.6,24.2,
2014,광주광역시,,12729,1.199,,,,,,,60.6,23.1,
2014,대구광역시,,19361,1.169,,,,,,,62.0,23.6,
2014,대전광역시,,13962,1.250,,,,,,,59.6,22.2,
2014,부산광역시,,26190,1.090,,,,,,,64.1,23.4,
2014,서울,,83711,0.983,,,,,,,62.2,21.4,
2014,세종특별자치시,,1344,1.354,,,,,,,57.2,22.8,
2014,울산광역시,,11556,1.437,,,,,,,63.3,22.5,
2014,인천광역시,,25786,1.212,,,,,,,62.7,25.6,
2014,전라남도,,14817,1.497,,,,,,,58.1,22.6,
2014,전북특별자치도,,14231,1.329,,,,,,,56.5,22.4,
2014,제주특별자치도,,5526,1.481,,,,,,,64.7,24.8,
2014,충청남도,,18200,1.421,,,,,,,60.6,24.0,
2014,충청북도,,13366,1.363,,,,,,,60.1,25.0,
2015,강원특별자치도,1518040.0,10929,1.311,8.1,35.8,43.4,9.8,2.9,,63.5,24.4,
2015,경기도,12479061.0,113495,1.272,4.5,27.4,48.8,14.5,4.8,,62.8,22.0,
2015,경상남도,3334524.0,29537,1.437,7.4,33.3,45.4,10.5,3.5,,63.6,21.4,
2015,경상북도,2680294.0,22310,1.464,5.0,46.2,39.4,7.8,1.5,,60.7,23.5,
2015,광주광역시,1502881.0,12441,1.207,5.5,36.3,48.6,7.5,2.1,,61.9,19.5,
2015,대구광역시,2466052.0,19438,1.216,5.8,37.6,44.4,10.0,2.1,,61.3,21.2,
2015,대전광역시,1538394.0,13774,1.277,5.5,33.5,45.8,11.9,3.3,,60.7,21.1,
2015,부산광역시,3448737.0,26645,1.139,7.2,33.9,46.7,9.5,2.7,,64.3,21.7,
2015,서울,9904312.0,83005,1.001,5.7,30.0,44.9,14.7,4.6,,63.6,20.4,
2015,세종특별자치시,204088.0,2708,1.893,5.8,38.3,43.2,9.2,3.4,,54.9,17.9,
2015,울산광역시,1166615.0,11732,1.486,4.8,31.5,47.0,13.8,3.0,,63.8,21.2,
2015,인천광역시,2890451.0,25491,1.216,6.5,33.3,49.2,8.8,2.3,,62.1,24.0,
2015,전라남도,1799044.0,15061,1.549,8.8,44.8,38.9,6.2,1.2,,58.1,21.1,
2015,전북특별자치도,1834114.0,14087,1.352,4.8,36.5,45.2,11.0,2.6,,56.4,21.1,
2015,제주특별자치도,605619.0,5600,1.477,4.7,37.0,47.0,9.0,2.4,,58.7,21.3,
2015,충청남도,2107802.0,18604,1.480,6.5,34.7,46.4,9.4,3.1,,60.2,23.4,
2015,충청북도,1589347.0,13563,1.414,5.6,35.9,46.5,10.1,2.0,,61.6,22.2,
2016,강원특별자치도,1521751.0,10058,1.237,,,,,,,62.2,22.8,
2016,경기도,12671956.0,105643,1.194,,,,,,,62.5,22.1,
2016,경상남도,3339633.0,27138,1.358,,,,,,,63.1,21.7,
2016,경상북도,2682169.0,20616,1.396,,,,,,,59.6,23.7,
2016,광주광역시,1501557.0,11580,1.168,,,,,,,58.6,19.7,
2016,대구광역시,2461002.0,18298,1.186,,,,,,,60.6,20.7,
2016,대전광역시,1535445.0,12436,1.192,,,,,,,61.5,21.0,
2016,부산광역시,3440484.0,24906,1.095,,,,,,,64.0,21.7,
2016,서울,9805506.0,75536,0.940,,,,,,,63.8,20.5,
2016,세종특별자치시,242507.0,3297,1.821,,,,,,,59.6,18.1,
2016,울산광역시,1166033.0,10910,1.418,,,,,,,63.7,22.2,
2016,인천광역시,2913024.0,23609,1.144,,,,,,,62.7,24.7,
2016,전라남도,1796017.0,13980,1.466,,,,,,,57.9,22.5,
2016,전북특별자치도,1833168.0,12698,1.251,,,,,,,56.6,21.7,
2016,제주특별자치도,623332.0,5494,1.432,,,,,,,61.9,26.7,
2016,충청남도,2132566.0,17302,1.395,,,,,,,60.7,22.8,
2016,충청북도,1603404.0,12742,1.358,,,,,,,61.9,22.5,
2017,강원특별자치도,1521386.0,8958,1.123,6.2,33.7,50.9,7.1,2.0,,63.7,23.0,
2017,경기도,12851601.0,94088,1.069,3.2,34.9,47.0,11.5,3.3,,63.0,21.0,
2017,경상남도,3345293.0,23849,1.227,3.5,39.5,46.5,8.4,2.2,,63.7,21.4,
2017,경상북도,2677058.0,17957,1.256,3.8,42.2,44.6,7.5,1.8,,60.1,22.4,
2017,광주광역시,1496172.0,10120,1.053,5.6,47.4,41.9,4.0,1.1,,61.6,21.6,
2017,대구광역시,2453041.0,15946,1.067,4.9,44.2,41.6,7.5,1.8,,60.9,20.8,
2017,대전광역시,1525849.0,10851,1.075,6.0,38.7,40.6,11.9,2.8,,61.9,20.9,
2017,부산광역시,3416918.0,21480,0.976,3.3,42.3,45.9,6.6,1.9,,63.7,21.7,
2017,서울,9741871.0,65389,0.836,3.7,31.1,47.0,14.3,3.9,,63.8,20.0,
2017,세종특별자치시,276589.0,3504,1.668,8.3,37.1,42.1,10.5,2.0,,62.5,17.8,
2017,울산광역시,1157077.0,9381,1.261,3.8,39.2,44.1,10.1,2.9,,63.2,20.9,
2017,인천광역시,2925967.0,20445,1.007,4.5,30.0,45.8,16.1,3.7,,64.0,22.7,
2017,전라남도,1792319.0,12354,1.325,7.7,48.4,37.6,5.1,1.1,,59.2,21.0,
2017,전북특별자치도,1826174.0,11348,1.151,3.8,44.3,44.1,6.0,1.8,,56.2,20.6,
2017,제주특별자치도,641757.0,5037,1.305,4.1,35.5,51.0,7.0,2.4,,62.6,23.1,
2017,충청남도,2162426.0,15670,1.276,5.2,37.7,48.7,7.5,1.0,,62.2,22.3,
2017,충청북도,1611009.0,11394,1.235,4.4,38.2,46.7,7.7,3.0,,63.4,23.2,
2018,강원특별자치도,1520391.0,8351,1.067,,,,,,,62.2,24.8,36.9
2018,경기도,13103188.0,88175,1.002,,,,,,,61.9,20.9,33.1
2018,경상남도,3350350.0,21224,1.122,,,,,,,63.5,20.9,34.7
2018,경상북도,2672902.0,16079,1.167,,,,,,,59.9,23.2,34.2
2018,광주광역시,1490092.0,9105,0.972,,,,,,,60.3,21.1,31.5
2018,대구광역시,2444412.0,14400,0.987,,,,,,,61.5,21.7,31.3
2018,대전광역시,1511214.0,9337,0.952,,,,,,,60.5,22.7,31.1
2018,부산광역시,3395278.0,19152,0.899,,,,,,,64.0,21.1,31.4
2018,서울,9673936.0,58074,0.761,,,,,,,62.8,19.8,30.6
2018,세종특별자치시,312374.0,3703,1.566,,,,,,,56.6,17.5,27.7
2018,울산광역시,1150116.0,8149,1.131,,,,,,,62.6,20.2,29.9
2018,인천광역시,2936117.0,20087,1.006,,,,,,,63.8,22.9,34.5
2018,전라남도,1790352.0,11238,1.240,,,,,,,57.8,21.2,34.4
2018,전북특별자치도,1818157.0,10001,1.044,,,,,,,58.7,21.1,34.2
2018,제주특별자치도,658282.0,4781,1.220,,,,,,,60.1,21.8,35.6
2018,충청남도,2181416.0,14380,1.186,,,,,,,62.9,23.9,32.8
2018,충청북도,1620935.0,10586,1.172,,,,,,,61.1,23.2,34.2
2019,강원특별자치도,1520127.0,8283,1.082,6.7,45.1,41.0,5.4,1.9,,60.5,21.0,35.0
2019,경기도,13300900.0,83198,0.943,5.8,40.5,43.4,8.1,2.2,,61.0,19.9,33.6
2019,경상남도,3347209.0,19250,1.046,5.9,38.6,43.9,7.8,3.8,,61.6,18.9,34.2
2019,경상북도,2668154.0,14472,1.089,6.9,39.5,44.8,7.2,1.7,,58.9,21.2,36.0
2019,광주광역시,1489730.0,8364,0.913,5.9,53.2,37.9,2.4,0.6,,61.1,19.6,33.3
2019,대구광역시,2429940.0,13233,0.932,9.8,42.2,39.7,6.8,1.4,,58.6,19.8,32.5
2019,대전광역시,1498839.0,8410,0.883,6.0,40.3,42.9,8.4,2.4,,58.7,18.9,30.0
2019,부산광역시,3372692.0,17049,0.827,5.7,47.9,38.7,5.4,2.3,,61.9,19.0,32.3
2019,서울,9639541.0,53673,0.717,6.3,40.6,42.1,8.3,2.7,,62.1,17.8,31.3
2019,세종특별자치시,338136.0,3819,1.472,7.4,46.4,36.9,7.0,2.3,,60.8,15.9,31.0
2019,울산광역시,1143692.0,7539,1.084,3.0,38.0,47.5,8.6,2.8,,63.5,19.0,33.1
2019,인천광역시,2952237.0,18522,0.940,6.7,41.4,42.4,7.9,1.5,,60.7,20.7,35.1
2019,전라남도,1787543.0,10832,1.234,11.0,49.6,36.3,2.9,0.2,,58.4,21.1,36.2
2019,전북특별자치도,1807423.0,8971,0.971,9.6,48.3,39.1,2.6,0.4,,56.9,18.9,33.0
2019,제주특별자치도,665048.0,4500,1.145,6.4,43.9,42.9,5.4,1.4,,58.8,20.6,38.6
2019,충청남도,2188649.0,13228,1.112,5.0,42.2,44.8,6.3,1.6,,58.8,21.5,36.1
2019,충청북도,1629343.0,9333,1.050,6.3,41.0,47.1,4.6,1.0,,61.7,22.2,34.7
2020,강원특별자치도,1521763.0,7835,1.036,,,,,,,57.2,21.6,
2020,경기도,13511676.0,77737,0.878,,,,,,,56.1,19.1,
2020,경상남도,3333056.0,16823,0.945,,,,,,,57.3,19.2,
2020,경상북도,2644757.0,12873,1.003,,,,,,,55.1,20.8,
2020,광주광역시,1477573.0,7318,0.811,,,,,,,52.9,18.5,
2020,대구광역시,2410700.0,11193,0.807,,,,,,,51.1,19.4,
2020,대전광역시,1488435.0,7481,0.805,,,,,,,56.5,17.3,
2020,부산광역시,3349016.0,15058,0.747,,,,,,,56.0,18.5,
2020,서울,9586195.0,47445,0.642,,,,,,,56.5,16.6,
2020,세종특별자치시,353933.0,3468,1.277,,,,,,,47.4,15.6,
2020,울산광역시,1135423.0,6617,0.984,,,,,,,57.4,20.0,
2020,인천광역시,2945454.0,16040,0.829,,,,,,,55.3,20.2,
2020,전라남도,1788807.0,9738,1.145,,,,,,,52.5,18.5,
2020,전북특별자치도,1802766.0,8165,0.909,,,,,,,50.6,19.6,
2020,제주특별자치도,670858.0,3989,1.021,,,,,,,55.2,18.8,
2020,충청남도,2176636.0,11950,1.029,,,,,,,53.7,20.2,
2020,충청북도,1632088.0,8607,0.983,,,,,,,57.4,21.5,
2021,강원특별자치도,1521890.0,7357,0.979,7.0,27.9,43.6,16.7,4.9,28.3,56.5,21.0,
2021,경기도,13652529.0,76139,0.853,5.3,23.2,43.1,21.5,6.9,28.1,53.7,18.1,
2021,경상남도,3305931.0,15562,0.903,5.3,26.0,41.2,20.7,6.9,24.9,55.1,18.5,
2021,경상북도,2635314.0,12045,0.966,3.9,18.9,51.6,20.8,4.9,24.7,52.5,20.4,
2021,광주광역시,1475262.0,7956,0.896,10.0,31.2,37.1,17.4,4.3,27.7,54.5,17.4,
2021,대구광역시,2387911.0,10661,0.785,6.3,27.7,47.1,15.1,3.8,24.2,53.7,18.8,
2021,대전광역시,1479740.0,7414,0.810,7.0,26.2,41.8,19.7,5.2,24.0,52.2,17.8,
2021,부산광역시,3324335.0,14446,0.728,7.6,38.2,35.6,15.6,2.9,25.7,54.3,17.8,
2021,서울,9472127.0,45531,0.626,8.0,20.1,45.3,20.3,6.3,28.0,54.9,15.8,
2021,세종특별자치시,366227.0,3570,1.277,7.8,26.7,37.9,22.9,4.8,25.5,48.4,15.1,
2021,울산광역시,1120753.0,6127,0.940,6.0,25.2,45.5,17.6,5.7,24.8,56.5,18.7,
2021,인천광역시,2957044.0,14947,0.778,4.9,23.8,44.3,20.6,6.4,29.5,55.2,19.6,
2021,전라남도,1778124.0,8430,1.017,8.7,34.1,41.6,12.7,2.8,23.7,53.6,17.9,
2021,전북특별자치도,1787053.0,7475,0.850,6.1,29.0,42.2,19.1,3.5,26.2,52.8,18.3,
2021,제주특별자치도,673107.0,3728,0.951,7.6,29.4,44.1,14.3,4.7,25.3,55.7,20.0,
2021,충청남도,2175960.0,10984,0.963,6.8,25.6,45.9,17.7,4.0,27.0,53.9,20.0,
2021,충청북도,1624764.0,8190,0.949,5.3,24.5,48.5,17.5,4.3,27.2,55.7,21.0,
2022,강원특별자치도,1528037.0,7278,0.968,,,,,,25.5,60.2,20.5,
2022,경기도,13717827.0,75323,0.839,,,,,,24.6,59.0,18.4,
2022,경상남도,3280829.0,14017,0.838,,,,,,23.1,60.1,19.7,
2022,경상북도,2620373.0,11311,0.930,,,,,,23.4,56.6,20.6,
2022,광주광역시,1468972.0,7446,0.844,,,,,,25.9,58.6,18.4,
2022,대구광역시,2366852.0,10134,0.757,,,,,,22.6,56.7,17.4,
2022,대전광역시,1473662.0,7677,0.842,,,,,,24.5,57.2,18.5,
